iter	Logloss
0	0.6616265951
1	0.6431604492
2	0.6196293077
3	0.5960827552
4	0.5737490996
5	0.55662151
6	0.5433532618
7	0.5339374764
8	0.5171347117
9	0.5063497119
10	0.4932016648
11	0.4850279859
12	0.4773070804
13	0.464242627
14	0.4547399506
15	0.4469065368
16	0.4393782959
17	0.4347296159
18	0.4274326035
19	0.4217853326
20	0.4180613832
21	0.4123648561
22	0.4055239386
23	0.4017541161
24	0.3968849003
25	0.3943293613
26	0.3902104245
27	0.3849206504
28	0.3805852185
29	0.3774755571
30	0.3743704312
31	0.372251801
32	0.3692294289
33	0.3661448528
34	0.3644424514
35	0.3605009811
36	0.3573010156
37	0.354046157
38	0.351657914
39	0.3490778546
40	0.3467173126
41	0.345441048
42	0.3438084251
43	0.3409141579
44	0.3396300344
45	0.3370721281
46	0.3352465678
47	0.3342873856
48	0.332735412
49	0.3311916856
50	0.3290037152
51	0.3270235422
52	0.3259087667
53	0.3240229924
54	0.3223337469
55	0.3209326704
56	0.3190526833
57	0.3177919788
58	0.3161466929
59	0.3143016314
60	0.3126702172
61	0.3118520704
62	0.311347477
63	0.3101792359
64	0.3091967029
65	0.3078155673
66	0.3067181524
67	0.3045711227
68	0.3028072833
69	0.3017012596
70	0.3001273949
71	0.2988286578
72	0.2968370709
73	0.2956646244
74	0.29400392
75	0.2930138549
76	0.2920397669
77	0.2905746853
78	0.2894645431
79	0.2883538878
80	0.2875223959
81	0.2866319999
82	0.2849641819
83	0.2833003178
84	0.282598292
85	0.2805460027
86	0.2802142135
87	0.2787387854
88	0.2776116844
89	0.2760233103
90	0.2755176825
91	0.2750534845
92	0.2737451829
93	0.2733044584
94	0.2725652621
95	0.27158453
96	0.2709643289
97	0.2702833719
98	0.2690072534
99	0.2685294378
100	0.2679306919
101	0.2671208895
102	0.2664351702
103	0.2658971188
104	0.2652589121
105	0.2644659474
106	0.2635527255
107	0.2622494396
108	0.2617265848
109	0.2611189388
110	0.2603097785
111	0.2599358486
112	0.2597133466
113	0.2593683081
114	0.2589243183
115	0.2575645421
116	0.2563691212
117	0.2555424147
118	0.2546783038
119	0.2536727961
120	0.252958542
121	0.2524190902
122	0.2520563452
123	0.2511002021
124	0.2503433215
125	0.2492584511
126	0.2486542287
127	0.2477664692
128	0.2474468588
129	0.2464948015
130	0.2461186962
131	0.245555091
132	0.2443060389
133	0.2440235069
134	0.2431314952
135	0.242571973
136	0.242369885
137	0.2416293909
138	0.2411761771
139	0.2403564613
140	0.2400639981
141	0.239267517
142	0.2382616594
143	0.2365615799
144	0.2352939546
145	0.2351979223
146	0.233919002
147	0.2336841289
148	0.2332693302
149	0.232905322
150	0.2326544642
151	0.2318729787
152	0.2311959748
153	0.230569137
154	0.2299964782
155	0.229047034
156	0.2283043038
157	0.2275229528
158	0.2271759532
159	0.2264468468
160	0.2254517982
161	0.2248370452
162	0.2241555616
163	0.2234806787
164	0.2229741711
165	0.2225211465
166	0.2222270085
167	0.2211547328
168	0.2207608474
169	0.2202108746
170	0.2196753664
171	0.2192643505
172	0.2188870448
173	0.2172820191
174	0.2163836281
175	0.2157334537
176	0.2148928033
177	0.2140385284
178	0.213348001
179	0.212755402
180	0.2118568818
181	0.2113854473
182	0.2103997394
183	0.2093700054
184	0.2087274422
185	0.2076393307
186	0.2071435977
187	0.206607877
188	0.2059794564
189	0.2049014848
190	0.2044131986
191	0.2037172715
192	0.2031436232
193	0.2026876891
194	0.2023111719
195	0.2017599835
196	0.2013701767
197	0.2006390228
198	0.2003047211
199	0.1998803266
200	0.1995063373
201	0.198949491
202	0.1982537248
203	0.1976067694
204	0.1969660297
205	0.1965523347
206	0.19586841
207	0.1951050988
208	0.1941783522
209	0.1937286364
210	0.192961143
211	0.1925621219
212	0.1922881761
213	0.1917769691
214	0.1909482154
215	0.1903487337
216	0.1898095615
217	0.1890699011
218	0.1883921898
219	0.1877487892
220	0.1873001914
221	0.1867989336
222	0.1862554037
223	0.1859692335
224	0.1851156811
225	0.1844887256
226	0.1843264185
227	0.1835385655
228	0.1831599653
229	0.1824934655
230	0.1819788555
231	0.1815341862
232	0.1812680202
233	0.1807480942
234	0.1803164054
235	0.1798477948
236	0.179404455
237	0.1790260262
238	0.1785299956
239	0.1779442504
240	0.1776805915
241	0.1772493997
242	0.1765182314
243	0.1759661223
244	0.1751790413
245	0.1747038421
246	0.1742561858
247	0.1739668204
248	0.1734041561
249	0.1726706199
250	0.172092084
251	0.1719143504
252	0.171458927
253	0.170833726
254	0.1704668041
255	0.1698663115
256	0.1693155311
257	0.1689089735
258	0.1687809235
259	0.1683189
260	0.1678037683
261	0.1671466527
262	0.1666734098
263	0.1661331956
264	0.1657252283
265	0.165128006
266	0.1646333003
267	0.1641205341
268	0.1637432679
269	0.1634189569
270	0.1630935022
271	0.1627775364
272	0.1625059381
273	0.1622915036
274	0.1619676882
275	0.1617492501
276	0.1612802812
277	0.160875315
278	0.1603510698
279	0.1602553675
280	0.160000468
281	0.1594501407
282	0.1588322854
283	0.1582591413
284	0.158101426
285	0.157506148
286	0.15705079
287	0.1566325717
288	0.1562867632
289	0.1557667701
290	0.155495519
291	0.1552892001
292	0.1548184016
293	0.1539390573
294	0.1534863168
295	0.1530928935
296	0.1525399341
297	0.1524431658
298	0.151997402
299	0.1516530686
